p0,p1,p2,p3,RUNTIME,elapsed_sec
256,20,0.2,NAdam,8.811,103.72166204452515
512,1,0.31,SGD,10.204,109.09926390647888
64,14,0.35,Adadelta,1.008,161.92390894889832
100,22,0.13,Adamax,8.811,170.536719083786
400,8,0.23,RMSprop,9.728,197.0015320777893
128,2,0.14,Adagrad,7.8,210.48091316223145
300,8,0.11,Adadelta,1.009,251.0632119178772
64,20,0.17,RMSprop,8.811,360.3740439414978
512,1,0.11,Adadelta,1.04,367.0687909126282
100,1,0.11,Adadelta,1.015,377.37538504600525
16,12,0.11,NAdam,9.728,418.33986806869507
100,1,0.1,Adadelta,1.017,428.9693601131439
200,1,0.1,Adadelta,1.018,437.26103687286377
256,1,0.11,Adadelta,1.024,445.0965220928192
100,1,0.51,Adadelta,1.019,455.7281639575958
128,30,0.12000000000000001,Adadelta,1.009,464.01366806030273
64,1,0.11,Adadelta,1.012,468.9748032093048
100,1,0.35,Adadelta,1.018,478.55613708496094
32,1,0.11,Adadelta,1.018,497.5845379829407
300,1,0.11,Adadelta,1.02,504.34646797180176
200,1,0.11,Adadelta,1.019,511.74268198013306
128,1,0.11,Adadelta,1.019,520.5323450565338
400,1,0.11,Adadelta,1.023,526.8255860805511
100,20,0.1,Adadelta,1.008,544.3602888584137
16,1,0.11,Adadelta,1.018,560.594437122345
32,1,0.1,Adadelta,1.018,563.5721068382263
128,1,0.1,Adadelta,1.017,572.5671520233154
100,1,0.24000000000000002,Adadelta,1.018,582.2075219154358
