p0,p1,p2,p3,objective,elapsed_sec
64,14,0.35,Adadelta,1.008,135.06440806388855
100,22,0.13,Adamax,8.811,283.06526613235474
256,20,0.2,NAdam,8.811,373.23785305023193
16,12,0.11,NAdam,9.728,663.5457201004028
16,30,0.53,Adagrad,8.811,1193.060392856598
400,8,0.23,RMSprop,9.728,1225.063817024231
100,16,0.22,Adagrad,8.803,1315.063984155655
300,14,0.4,Adagrad,8.811,1371.0572650432587
300,22,0.45999999999999996,Adam,8.811,1465.0438480377197
64,16,0.31,Adadelta,1.008,1611.0668568611145
64,1,0.33,NAdam,9.69,1621.4564111232758
64,16,0.36,RMSprop,9.728,1739.0651540756226
64,16,0.35,Adam,9.728,1875.0514171123505
64,16,0.35,RMSprop,9.728,1995.0560500621796
64,16,0.30000000000000004,Adagrad,8.803,2111.2256150245667
64,16,0.31,Adagrad,8.811,2227.0604159832
64,14,0.35,Adamax,9.728,2349.0613899230957
64,14,0.47,Adamax,9.728,2471.0440361499786
64,14,0.31,SGD,10.204,2555.590938091278
64,16,0.32,SGD,10.204,2651.56104016304
64,14,0.35,SGD,10.204,2737.048301935196
64,14,0.31,Adadelta,1.008,2871.0415980815887
100,14,0.31,Adadelta,1.008,2977.0486011505127
200,14,0.31,Adadelta,1.007,3053.052861213684
400,14,0.31,Adadelta,1.01,3113.2763299942017
64,20,0.33,Adadelta,1.008,3307.4624149799347
64,20,0.35,Adadelta,1.008,3491.047852039337
128,20,0.4,Adadelta,1.009,3617.0209929943085
256,14,0.21000000000000002,Adadelta,1.009,3683.0593299865723
128,14,0.25,Adadelta,1.008,3771.04980802536
512,14,0.30000000000000004,Adadelta,1.009,3827.062954902649
512,14,0.31,Adadelta,1.01,3881.133852005005
