p0,p1,p2,p3,RUNTIME,elapsed_sec
256,20,0.2,NAdam,1.018,65.39571213722229
100,22,0.13,Adamax,1.017,68.55242896080017
512,1,0.31,SGD,1.354,70.66603398323059
128,20,0.35,RMSprop,1.018,73.66223096847534
32,8,0.30000000000000004,Adadelta,1.184,126.8248221874237
128,2,0.14,Adagrad,1.191,136.49728894233704
300,8,0.11,Adadelta,1.445,155.4871530532837
64,20,0.17,RMSprop,1.017,199.53339290618896
128,30,0.12000000000000001,Adadelta,1.126,246.7546248435974
16,12,0.1,Adagrad,1.055,319.6311709880829
16,30,0.53,Adagrad,1.05,749.8725678920746
16,12,0.11,NAdam,400.0,780.8873100280762
200,20,0.17,Adagrad,1.092,828.4237101078033
16,22,0.1,Adamax,1.016,851.5406558513641
128,1,0.44000000000000006,Adadelta,6.242,859.2046859264374
16,20,0.1,Adam,1.018,892.2271580696106
64,20,0.17,Adagrad,1.066,911.8589971065521
200,20,0.18,Adagrad,1.092,958.265389919281
128,30,0.25,RMSprop,1.016,974.7134830951691
32,24,0.30000000000000004,Adadelta,1.115,1042.602782011032
128,20,0.19,RMSprop,1.018,1048.6517930030823
32,20,0.15000000000000002,Adagrad,1.053,1085.296709060669
300,30,0.25,Adadelta,1.177,1105.4970078468323
128,20,0.55,RMSprop,1.019,1118.782842874527
100,20,0.17,Adagrad,1.076,1149.8070149421692
400,30,0.26,Adadelta,1.206,1162.1869468688965
128,12,0.32,RMSprop,1.016,1163.3737308979034
300,20,0.19,SGD,1.067,1191.443734884262
