p0,p1,p2,p3,objective,elapsed_sec
128,20,0.35,RMSprop,1.018,50.817471981048584
100,22,0.13,Adamax,1.016,94.8656656742096
256,20,0.2,NAdam,1.018,134.8684277534485
16,12,0.11,NAdam,1.02,346.85779881477356
16,30,0.53,Adagrad,1.047,538.8317320346832
400,8,0.23,RMSprop,1.018,550.8639266490936
100,16,0.22,Adagrad,1.082,582.8632528781891
16,24,0.22,NAdam,1.017,1004.8645298480988
128,2,0.22,Adadelta,2.52,1012.8629949092865
32,22,0.22,Adamax,1.016,1108.865569114685
16,20,0.14,NAdam,1.019,1458.9101388454437
128,14,0.22,NAdam,1.019,1500.8177678585052
16,20,0.12000000000000001,NAdam,1.021,1852.8626880645752
128,12,0.22,NAdam,1.018,1890.8669247627258
16,30,0.11,NAdam,1.02,2426.8623208999634
128,30,0.22,Adamax,1.016,2478.8256199359894
512,1,0.15000000000000002,NAdam,1.056,2483.1312198638916
16,30,0.1,Adamax,1.016,2696.957112789154
16,20,0.11,Adamax,1.017,2840.864979982376
16,14,0.11,Adamax,1.016,2940.863779783249
128,20,0.37,Adam,1.016,2978.8652029037476
16,16,0.1,Adamax,1.015,3092.828613758087
16,1,0.11,Adamax,1.039,3102.951807975769
200,20,0.13,Adamax,1.016,3130.8205058574677
128,24,0.14,Adamax,1.016,3172.864227771759
300,20,0.21000000000000002,Adamax,1.017,3198.8636889457703
64,20,0.19,Adamax,1.017,3254.8187499046326
512,20,0.22,Adamax,1.017,3275.3649537563324
200,20,0.21000000000000002,Adamax,1.016,3302.8590259552
512,20,0.23,Adamax,1.018,3324.8220670223236
300,20,0.56,Adamax,1.019,3350.8212916851044
200,20,0.21000000000000002,NAdam,1.016,3396.8632168769836
