p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,RUNTIME,elapsed_sec
float,128, , , , , , , ,8,-63.267,1.2865679264068604
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,-ingrid 1 4 2,-outgrid 1 4 2,4,-65.4633,1.7707278728485107
double,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,-ingrid 1 4 2,-outgrid 1 2 4,4,100.0,184.1856780052185
double,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1, ,-outgrid 4 2 1,2,-53.9285,185.1961829662323
float,512, , ,-p2p,-pencils,-r2c_dir 1,-ingrid 1 4 2,-outgrid 1 4 2,8,-63.7116,190.0144166946411
double,256, ,-a2a, ,-pencils,-r2c_dir 1,-ingrid 4 1 2,-outgrid 4 2 1,8,-47.293,191.61457300186157
float,256,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,-ingrid 4 1 2,-outgrid 1 4 2,6,-77.4482,193.0243377685547
double,512, ,-a2av,-p2p,-pencils, ,-ingrid 1 4 2,-outgrid 1 4 2,6,-44.2904,199.46422290802002
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,-ingrid 2 2 2,-outgrid 1 4 2,6,-73.692,203.86174988746643
float,128,-reorder,-a2av, ,-slabs,-r2c_dir 0,-ingrid 1 4 2,-outgrid 4 1 2,6,-75.3958,204.9827880859375
float,128,-reorder, , , ,-r2c_dir 1,-ingrid 4 2 1,-outgrid 2 2 2,6,-84.7285,206.15239906311035
float,128,-reorder, , , , , ,-outgrid 4 1 2,6,-88.1227,207.3041229248047
float,128,-reorder, , ,-slabs,-r2c_dir 0,-ingrid 1 4 2,-outgrid 2 2 2,2,-85.8617,208.47460794448853
float,128,-reorder, , ,-slabs, ,-ingrid 1 4 2,-outgrid 4 2 1,4,-83.7616,209.6460897922516
float,128,-reorder,-a2av, ,-slabs, ,-ingrid 1 4 2,-outgrid 4 2 1,6,-97.4211,210.8369119167328
float,256,-reorder, , ,-slabs, ,-ingrid 1 4 2,-outgrid 4 2 1,2,-83.5068,212.31170082092285
double,128,-reorder, , ,-slabs, ,-ingrid 1 2 4,-outgrid 4 2 1,6,-44.3891,213.541090965271
float,128,-reorder,-a2av, ,-pencils, ,-ingrid 1 4 2,-outgrid 4 2 1,4,-103.201,214.7975299358368
