p0,p1,p2,p3,p4,RUNTIME,elapsed_sec
0.00011,0.0003400000000000001,1.371,-0.6,8.08,-0.809,34.57244801521301
0.0005,0.000505,1.0,0.0,1.0,-0.834,35.75628590583801
0.00025,0.00068,1.233,0.40000000000000013,6.640000000000001,-0.809,35.84177780151367
0.0007000000000000001,0.0008700000000000001,1.077,0.42999999999999994,3.8800000000000003,-0.81,68.68598699569702
0.00012000000000000002,0.0007000000000000001,1.366,0.26,3.19,-0.812,69.43243789672852
p0,p1,p2,p3,p4,RUNTIME,elapsed_sec
0.0005,0.000505,1.0,0.0,1.0,-0.834,34.07448601722717
0.00025,0.00068,1.233,0.40000000000000013,6.640000000000001,-0.809,35.40215802192688
0.00011,0.0003400000000000001,1.371,-0.6,8.08,-0.809,35.503445863723755
0.00012000000000000002,0.0007000000000000001,1.366,0.26,3.19,-0.812,67.58676099777222
0.0007000000000000001,0.0008700000000000001,1.077,0.42999999999999994,3.8800000000000003,-0.81,69.7279589176178
0.00045000000000000004,0.00051,1.201,-0.27,4.25,-0.81,70.5338978767395
