p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,44.51,64.69890069961548
250,10,600,500,300,10,34.48,101.4715166091919
400,100,16,8,3,20,36.25,139.2276508808136
500,25,24,10,4,5,36.46,178.7532615661621
500,2,60,200,1,40,35.55,218.60461568832397
16,50,24,25,1200,400,32.39,255.16259241104126
200,16,48,500,60,320,36.15,295.58274483680725
125,400,32,2,60,1,40.28,340.1617646217346
1,50,240,2000,25,320,36.28,380.76921916007996
50,50,20,125,600,1600,36.25,421.18125009536743
125,50,2400,8,300,2,36.61,461.9332504272461
250,2,240,400,160,800,32.08,498.3001763820648
1,40,75,16,25,100,32.45,534.9921057224274
1,4,3,2,800,400,34.28,573.5223939418793
1,320,1200,2,100,5,33.6,611.4177193641663
1,5,100,500,40,40,32.21,647.9462335109711
1,5,2,500,150,10,36.07,688.3770551681519
1,32,8,25,100,800,32.07,724.6926116943359
1,80,480,80,80,80,33.02,761.9932582378387
1,320,480,20,1,16,54.07,820.5248701572418
1,5,24,25,10,50,33.54,858.4341359138489
1,5,60,25,240,100,31.69,894.5874376296997
1,40,480,25,32,50,31.97,931.117386341095
1,1600,480,25,24,40,33.65,969.3262550830841
1,200,480,25,12,1600,37.31,1011.0270745754242
1,160,480,25,32,1,38.55,1053.9175429344177
10,5,6,25,1,100,35.63,1093.8590440750122
1,5,480,4,10,80,32.8,1131.0145902633667
1,5,480,200,600,1600,36.38,1171.7421119213104
1,10,480,16,300,100,34.86,1211.218220949173
1,5,480,50,60,2,35.59,1251.1617782115936
1,320,480,25,300,160,34.03,1289.5349099636078
1,320,10,25,40,5,33.66,1327.6131343841553
1,320,600,25,50,160,31.81,1363.776130914688
1,20,32,25,1,160,35.36,1403.5137481689453
1,320,60,25,2400,100,34.32,1442.1999661922455
100,320,150,25,96,100,36.0,1482.5802068710327
1,320,100,25,80,2,34.1,1521.1043784618378
1,16,8,25,6,1,36.32,1561.9049861431122
1,800,150,25,80,100,31.72,1597.978358745575
1,40,50,25,150,100,32.46,1634.7418131828308
1,25,400,25,120,100,32.47,1671.6079592704773
1,16,2,25,1200,100,33.28,1709.2842481136322
1,320,480,200,12,100,32.49,1746.3629455566406
1,320,4,80,15,100,32.72,1783.48854470253
1,2,80,4,60,100,32.06,1819.9833548069
1,320,1200,2000,400,100,32.77,1857.2300353050232
1,2,480,1000,30,100,34.73,1896.4292662143707
1,320,3,4,480,100,32.83,1933.7838609218597
1,320,480,2,2,64,37.59,1976.062510251999
250,40,300,1000,1,100,37.93,2018.4487149715424
1,1,40,2,3,100,33.88,2056.7371430397034
1,80,800,1,60,100,32.82,2093.987115383148
250,800,6,25,10,100,34.31,2132.812931060791
250,4,50,20,1,100,37.17,2174.4383392333984
1,8,2,100,1,100,37.59,2216.4392766952515
1,20,400,25,60,25,35.17,2256.293712615967
1,64,480,25,12,100,34.15,2295.0852751731873
1,4,15,25,80,100,34.69,2334.3454699516296
1,5,120,25,60,100,31.1,2369.989815711975
1,5,96,125,1,5,41.54,2416.044182062149
250,5,4,10,60,100,32.64,2453.22500371933
10,5,5,2000,60,100,33.39,2491.132161140442
2,5,24,25,4,100,32.68,2528.4398953914642
40,5,10,25,12,100,34.45,2567.656157016754
80,64,300,2,60,100,34.28,2606.5335731506348
1,320,50,25,80,1,38.97,2650.0725133419037
200,5,12,25,1,50,35.26,2689.8206083774567
2000,25,10,25,1,400,36.18,2730.457988500595
1,80,40,25,1,4,40.23,2775.2742125988007
1,5,3,25,1200,100,34.89,2814.731695652008
1,5,1,25,12,100,36.05,2855.4172122478485
1,200,8,25,60,8,35.04,2894.9544870853424
1,5,10,25,30,320,39.53,2939.0964665412903
1,320,160,25,10,160,33.69,2977.424656391144
1,2,800,25,2,80,35.76,3017.661339521408
1,5,24,25,2400,16,39.18,3061.570826292038
1,200,24,25,600,100,34.28,3100.4724271297455
200,320,25,500,1,5,45.16,3150.3275876045227
1,32,480,25,96,5,34.39,3189.474093914032
1,5,80,500,2400,100,37.91,3232.116302013397
8,5,16,125,60,100,35.46,3272.2596111297607
1,25,3,25,1,80,42.06,3319.0664858818054
1,40,1200,25,30,160,32.85,3356.694783449173
1,40,2,25,100,25,37.25,3398.722095012665
1,5,800,4,80,100,35.85,3439.4156453609467
1,25,24,25,60,100,36.26,3480.3080592155457
1,40,15,25,6,200,36.56,3521.500042438507
1,4,8,20,2400,100,35.39,3561.602250099182
1,1,50,25,60,100,36.23,3602.4333081245422
1,320,50,20,20,100,31.78,3638.842595100403
1,40,60,25,3,160,38.41,3681.9253368377686
1,5,32,8,60,100,35.99,3722.5531873703003
200,320,4,500,400,100,34.75,3762.0015122890472
250,5,400,4,6,160,33.06,3799.7412118911743
250,5,20,25,160,160,34.21,3838.5322885513306
50,5,80,25,240,160,31.94,3875.0638344287872
40,5,300,25,240,160,34.81,3914.5223891735077
100,320,10,25,2,160,33.67,3952.759887456894
