p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,2.93,19.918352127075195
1000,1,25,10,80,800,2.88,24.2565438747406
500,100,1200,5,12,25,2.45,27.88610053062439
2,1,5,40,60,80,2.18,32.47351694107056
20,40,10,200,150,16,2.52,38.504230976104736
5,400,1,100,30,50,2.29,44.23450183868408
4,1,1200,250,200,200,2.22,49.959153175354004
10,1,24,20,600,50,2.34,55.78833365440369
250,1,80,2,10,400,2.24,61.70288276672363
250,1,1200,100,50,80,2.2,67.38074278831482
50,1,1200,4,50,8,2.29,73.1702299118042
1,1,6,200,240,40,2.19,78.92304563522339
10,1,1200,4,12,1,2.36,84.76084184646606
125,1,3,250,60,32,2.6,90.85559582710266
500,1,6,500,50,4,2.53,96.90277767181396
1,1,1200,5,10,4,2.3,102.7411003112793
1,1,150,125,24,16,2.4,108.66974663734436
1,2,1200,10,50,50,2.15,114.37752604484558
1,1,15,1000,50,50,2.17,120.1450080871582
1,1,2,250,50,50,2.16,125.84261465072632
1,1,50,2,75,50,2.24,131.8353202342987
1,32,60,200,50,16,2.35,137.7957968711853
1,1,60,1000,1,50,2.3,143.72989511489868
1000,1,12,50,50,50,2.2,149.5383415222168
100,1,15,1,50,50,2.2,155.34385800361633
1,5,2,25,50,8,2.3,161.30773878097534
20,5,3,25,50,50,2.33,167.26001071929932
1,1,15,125,50,200,2.19,173.07082223892212
1,1,600,250,50,25,2.29,179.0524926185608
1,1,100,250,25,50,2.15,184.84150671958923
1,80,5,1000,50,50,2.16,190.6480836868286
1,4,100,4,50,50,2.18,196.47675204277039
1,5,120,4,50,50,2.16,202.4203655719757
1,200,4,8,30,50,2.27,208.2794635295868
8,50,4,1000,50,50,2.16,214.0600893497467
20,8,20,1000,50,50,2.2,219.83804512023926
1,32,300,200,50,50,2.17,225.63491487503052
1,4,20,100,50,50,2.17,231.3982470035553
1,1,1200,1,600,20,2.6,237.76650285720825
100,16,50,1,1200,50,2.36,243.72420454025269
20,1,2,1,50,50,2.16,249.53713989257812
40,1,400,100,50,50,2.19,255.38307785987854
1000,100,50,1,50,50,2.15,261.15346789360046
1,1,15,40,8,32,2.67,267.5069100856781
50,10,5,500,50,50,2.17,273.44633078575134
1000,100,3,1,50,50,2.21,279.2552156448364
100,80,200,1,50,50,2.16,285.00948429107666
100,25,5,125,50,50,2.18,290.87298607826233
40,5,6,20,50,50,2.19,296.67191219329834
5,1,600,200,60,400,2.19,302.4858658313751
1,800,20,1,25,50,2.19,308.4409775733948
100,1,75,200,60,8,2.44,314.51466488838196
250,1,200,10,60,160,2.77,321.1510329246521
500,80,30,10,50,50,2.17,329.5170211791992
2,2,60,10,50,50,2.22,335.4397568702698
25,20,16,10,50,50,2.17,341.43577241897583
1,5,48,40,50,50,2.19,347.26617336273193
8,80,100,10,50,50,2.15,353.0572063922882
200,400,30,10,50,50,2.14,358.8492419719696
1,8,80,1,15,50,2.26,364.71250796318054
5,400,150,10,50,50,2.15,370.57805156707764
4,40,5,10,50,50,2.16,376.6087489128113
1,5,400,10,50,50,2.2,382.48473739624023
1,1,100,100,50,200,2.17,388.27925300598145
125,80,10,10,50,50,2.16,394.1514141559601
250,400,600,5,50,200,2.18,400.03590202331543
250,2,200,1000,50,200,2.2,405.89190435409546
20,1,5,500,50,200,2.18,411.89729380607605
500,1,48,200,50,200,2.2,417.74374055862427
500,2,25,1000,50,200,2.2,423.6107015609741
500,8,10,25,50,200,2.19,429.44426918029785
250,800,16,200,80,200,2.21,435.27665185928345
500,1,24,200,8,200,2.22,441.25039744377136
500,8,48,500,50,50,2.32,447.3257005214691
500,16,4,1,50,50,2.21,453.2735254764557
250,2,4,500,50,50,2.16,459.14876914024353
4,50,12,500,50,50,2.15,465.05683493614197
40,32,30,500,50,50,2.17,470.95098853111267
500,32,50,500,50,50,2.19,476.8450560569763
1,8,3,500,50,50,2.34,482.8940601348877
1000,10,5,500,50,50,2.16,488.73866534233093
5,1,60,200,12,200,2.22,494.71221709251404
50,4,20,500,50,50,2.2,500.65781569480896
5,160,60,8,5,200,2.27,506.60557651519775
5,1,75,1,2,200,2.25,512.5753183364868
100,1,12,1,3,200,2.28,518.6813066005707
1,100,2,1,100,200,2.22,524.5568783283234
2,25,80,1,50,200,2.2,530.4393200874329
1000,16,1200,125,50,50,2.15,536.3258175849915
500,32,1,1,50,200,2.25,542.2258641719818
1,80,1,25,50,50,2.35,548.2749199867249
1000,80,400,100,50,50,2.16,554.1326351165771
500,40,1200,4,50,50,2.17,560.0167405605316
250,160,1,8,5,200,2.22,565.9354522228241
1,200,1,4,50,200,2.19,571.8300156593323
200,100,1,40,50,50,2.17,577.7089986801147
50,200,1,50,400,200,2.27,583.6882891654968
1,20,1,10,16,200,2.19,589.7613651752472
1,16,120,10,120,200,2.2,595.6532967090607
