p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
8,8,8,8,8,8,2.36,18.674737691879272
1000,1,25,10,80,800,2.72,22.59018850326538
500,100,1200,5,12,25,2.49,26.272542476654053
2,1,5,40,60,80,2.18,31.022430181503296
20,40,10,200,150,16,2.55,37.05221223831177
5,400,1,100,30,50,2.22,42.71891784667969
4,1,1200,250,200,200,2.27,48.412574768066406
10,1,24,20,600,50,2.35,54.24984693527222
250,1,80,2,10,400,2.23,59.994627714157104
250,1,1200,100,50,80,2.18,65.79119229316711
4,1,400,1,1200,50,2.27,71.5129451751709
1,1,6,200,240,40,2.26,77.32891321182251
1000,1,200,2,600,200,2.24,83.00520205497742
125,1,3,250,60,32,2.58,89.11683773994446
500,1,6,500,50,4,2.3,94.86386442184448
1,1,100,25,600,20,2.54,101.09379720687866
2,1,1,1,40,800,2.69,107.84062767028809
20,1,48,1000,400,50,2.2,113.56848907470703
20,1,1200,500,6,4,2.42,119.49842500686646
25,1,10,40,5,50,2.31,125.31244921684265
25,1,80,1000,300,50,2.3,131.2099106311798
5,1,200,40,4,100,2.18,137.0803906917572
250,1,240,40,240,4,2.53,143.14648580551147
250,1,8,40,120,400,2.22,148.98357224464417
250,1,75,40,16,2,2.41,154.93643140792847
1000,1,120,40,200,20,2.36,160.90685272216797
1000,1,16,40,50,400,2.27,166.7448456287384
1000,1,16,40,3,400,2.22,172.6981325149536
1000,25,300,40,5,400,2.21,178.4793586730957
200,1,120,40,24,400,2.25,184.33207392692566
10,1,12,125,50,400,2.26,190.17861104011536
1000,1,100,5,2,400,2.22,195.96879601478577
1000,1,30,8,100,400,2.2,201.8131332397461
125,1,80,40,50,2,2.4,208.37132453918457
1000,200,60,1000,50,400,2.19,214.2455439567566
1000,32,1,8,240,400,2.23,222.802805185318
1000,1,12,250,5,50,2.38,230.46584153175354
1000,80,30,250,150,400,2.23,236.33567452430725
250,1,150,20,50,2,2.64,242.5450541973114
250,16,6,250,15,400,2.21,248.38006734848022
1000,1,240,40,80,20,2.31,254.40202832221985
1000,1,75,40,80,80,2.2,260.19699883461
1000,1,2,1000,8,80,2.18,265.9561731815338
1000,1,80,200,48,80,2.19,271.78999733924866
1000,1,50,1,15,80,2.39,277.7922194004059
1000,800,16,100,80,80,2.17,283.5317416191101
1000,200,50,125,80,80,2.23,289.312077999115
1000,1,400,125,300,80,2.23,295.1699321269989
1000,2,16,5,80,80,2.18,300.9521312713623
1000,400,1,500,80,80,2.24,306.77257442474365
1000,50,1200,1,12,80,2.17,312.6456048488617
250,20,100,1,80,80,2.18,318.57205629348755
250,10,16,100,8,80,2.15,324.35686206817627
250,400,16,5,600,80,2.25,330.2420175075531
500,5,20,1,80,80,2.18,336.0406548976898
200,80,6,100,80,80,2.19,341.83268451690674
1,1,6,100,30,80,2.35,347.78155970573425
25,40,16,1,10,80,2.26,353.7326412200928
250,25,1,100,50,80,2.17,359.55930829048157
1000,1,3,100,120,80,2.18,365.33612632751465
1,1,15,100,80,80,2.23,371.1665358543396
250,16,12,1,10,80,2.28,377.10746932029724
40,4,1200,100,120,80,2.19,382.9519865512848
100,25,16,100,15,80,2.16,388.9358277320862
1,32,400,100,40,80,2.28,394.8881480693817
40,16,1,100,15,80,2.18,400.7396490573883
4,1,8,100,15,80,2.16,406.5461082458496
10,400,600,100,15,80,2.18,412.36259746551514
10,1,24,100,4,80,2.38,418.4182159900665
125,1,12,8,15,80,2.16,424.2498745918274
500,1,24,8,15,80,2.17,430.07286310195923
125,160,25,200,15,80,2.23,435.91262125968933
50,1,8,5,15,80,2.16,441.7484278678894
8,1,16,100,5,80,2.23,447.62755727767944
125,1,400,1000,60,80,2.37,453.63258481025696
10,1,16,1000,15,80,2.15,459.43291211128235
500,1,2,2,15,80,2.23,465.344087600708
500,1,25,8,15,80,2.23,471.24618697166443
125,1,24,250,15,80,2.18,477.0539085865021
10,1,30,10,15,80,2.16,482.8792977333069
10,16,10,100,15,80,2.17,488.934467792511
20,1,150,25,15,80,2.21,494.7948257923126
10,40,1200,100,240,80,2.24,500.69436264038086
2,40,2,1,15,80,2.18,506.56733989715576
10,1,48,20,15,80,2.16,512.3737497329712
10,100,24,500,15,80,2.17,518.1756503582001
