p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
8,8,8,8,8,8,2.41,25.004210233688354
1000,1,25,10,80,800,2.7,28.999547958374023
500,100,1200,5,12,25,2.5,32.71141266822815
2,1,5,40,60,80,2.18,37.43055748939514
20,40,10,200,150,16,2.55,43.65840697288513
5,400,1,100,30,50,2.24,49.37991690635681
4,1,1200,250,200,200,2.22,55.35628271102905
10,1,24,20,600,50,2.33,61.25238490104675
250,1,80,2,10,400,2.23,67.07225012779236
250,1,1200,100,50,80,2.2,72.79688763618469
4,1,400,1,1200,50,2.32,78.70769715309143
1,1,6,200,240,40,2.23,84.60094237327576
1000,1,200,2,600,200,2.35,90.72315192222595
5,1,1200,20,12,100,2.18,96.55127501487732
1000,1,1200,40,150,200,2.17,102.33436298370361
1000,1,240,4,300,200,2.29,108.28402900695801
1000,1,80,500,40,5,2.34,114.23340892791748
2,1,1200,5,1200,4,2.61,120.43359923362732
20,1,1200,500,6,4,2.43,126.5427794456482
125,1,1200,8,60,1,3.22,133.37280368804932
500,1,1200,100,10,200,2.24,139.35235810279846
8,1,1200,4,600,80,2.29,145.36875867843628
40,1,1200,1,8,200,2.21,151.31253504753113
1,1,1200,50,20,80,2.16,157.2324182987213
10,1,1200,1000,16,80,2.27,163.22452306747437
200,1,1200,25,1,80,2.33,169.2654778957367
4,1,1200,5,50,20,2.37,175.31041717529297
25,1,1200,100,6,5,2.45,181.40879344940186
100,1,1200,40,150,200,2.2,187.196355342865
5,25,1200,40,60,80,2.17,193.32549238204956
50,40,150,40,60,200,2.21,199.25496625900269
5,100,25,40,60,80,2.24,205.1149184703827
50,5,50,40,60,80,2.18,211.07379031181335
50,400,4,40,60,200,2.18,216.96711468696594
8,200,300,40,60,80,2.2,222.90431118011475
40,1,1200,40,100,16,2.29,229.1002266407013
10,40,3,40,60,80,2.25,235.13837933540344
50,160,6,40,60,200,2.18,241.0121991634369
500,5,3,40,60,200,2.21,246.9510989189148
50,100,1200,40,10,50,2.52,253.2742657661438
2,2,1200,40,60,100,2.27,259.31254506111145
5,8,1200,100,60,20,2.54,265.8215961456299
500,8,20,40,60,200,2.3,271.86451292037964
5,200,4,40,60,200,2.19,277.78430461883545
5,8,100,40,60,20,2.65,284.26148223876953
500,1,120,40,60,80,2.18,290.3026146888733
50,800,1200,500,60,80,2.38,296.45385694503784
250,1,8,100,60,80,2.21,302.40663981437683
500,1,12,40,60,2,2.66,308.80313086509705
250,160,1200,20,60,200,2.2,314.7177677154541
50,4,1200,1,25,200,2.17,320.5822112560272
5,1,6,100,60,80,2.19,326.4866509437561
1000,100,12,8,60,80,2.21,332.5281925201416
50,2,5,8,60,80,2.22,338.4333634376526
50,25,240,8,50,200,2.19,344.4518702030182
50,800,60,8,60,200,2.18,350.35177397727966
50,40,1200,8,100,200,2.26,356.37865591049194
50,5,40,8,12,200,2.28,362.54194021224976
100,20,1200,8,5,200,2.22,368.54361605644226
4,1,300,8,15,80,2.42,374.78542828559875
20,800,1200,8,30,200,2.16,382.0328540802002
25,1,12,8,60,80,2.23,394.70696902275085
8,50,1200,8,300,200,2.3,405.7337348461151
40,2,30,8,60,80,2.38,436.12599778175354
1000,8,1200,250,1200,200,2.26,442.70943999290466
50,1,4,10,60,200,2.25,448.81507778167725
50,8,20,25,80,200,2.21,454.7542963027954
500,80,1200,8,6,200,2.21,460.7404115200043
250,16,1200,40,100,80,2.2,466.72049593925476
5,4,50,1,60,50,2.48,473.003968000412
8,200,1200,40,100,80,2.23,478.947603225708
20,200,1200,8,60,200,2.21,484.85973739624023
500,1,15,40,60,80,2.36,491.0542948246002
5,8,40,40,300,80,2.27,497.0631675720215
500,32,240,40,1200,80,2.39,503.2061445713043
1000,1,16,40,60,80,2.18,509.27271151542664
40,200,1200,5,25,200,2.41,515.4920926094055
50,1,25,8,8,200,2.2,521.4831252098083
50,1,300,8,10,200,2.2,527.5027163028717
50,1,48,1000,60,50,2.32,533.66144490242
50,10,25,5,600,200,2.47,539.8987612724304
50,10,25,40,600,200,2.39,546.0508890151978
250,10,25,40,60,80,2.18,551.940397977829
50,8,60,25,60,200,2.18,558.0178303718567
4,1,1200,8,60,2,2.61,564.4484324455261
50,2,25,500,60,200,2.17,570.3772995471954
4,100,12,25,60,200,2.44,576.5693202018738
2,1,600,8,60,80,2.21,582.5651867389679
50,40,400,200,60,200,2.21,588.5585513114929
50,16,8,100,60,200,2.23,594.5157308578491
50,5,25,500,60,200,2.2,600.6169967651367
50,8,240,100,60,200,2.19,606.6505091190338
50,10,12,100,24,200,2.2,612.7816672325134
50,32,150,40,48,200,2.24,618.7973771095276
50,20,12,125,75,200,2.18,624.8074061870575
50,4,12,1,150,200,2.28,630.8503904342651
50,800,25,10,150,200,2.23,636.8725616931915
50,5,1200,10,60,200,2.3,643.0547683238983
50,100,5,10,60,200,2.2,649.227438211441
